Method,K,Hits_mean,Hits_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Enrichment_Factor_mean,Enrichment_Factor_std
Random forest,500,108.33333333333333,8.082903768654763,0.21666666666666667,0.016165807537309517,0.09149774774774776,0.006826776831634087,4.619172297297298,0.34464300156821565
ctMV-GCN (dual attention + nnPU),10,3.6666666666666665,1.1547005383792515,0.3666666666666667,0.11547005383792516,0.003096846846846847,0.0009752538330905841,7.817060810810811,2.461735725487253
ctMV-GCN (dual attention + nnPU),20,7.333333333333333,1.1547005383792517,0.3666666666666667,0.05773502691896262,0.006193693693693694,0.0009752538330905842,7.817060810810811,1.2308678627436263
ctMV-GCN (dual attention + nnPU),50,18.0,3.605551275463989,0.36000000000000004,0.07211102550927978,0.015202702702702705,0.003045229117790532,7.674932432432432,1.5373534678253717
ctMV-GCN (dual attention + nnPU),100,30.666666666666668,4.041451884327381,0.30666666666666664,0.04041451884327378,0.0259009009009009,0.0034133884158170443,6.537905405405405,0.8616075039205378
ctMV-GCN (dual attention + nnPU),200,56.333333333333336,4.932882862316248,0.2816666666666667,0.024664414311581218,0.04757882882882883,0.004166286201280614,6.004923986486486,0.5258269814636259
ctMV-GCN (dual attention + nnPU),500,114.0,21.0,0.228,0.04200000000000001,0.09628378378378379,0.01773648648648649,4.860790540540541,0.8954087837837842
ctMV-GCN (equal fusion + nnPU),10,2.3333333333333335,0.5773502691896258,0.2333333333333333,0.05773502691896256,0.001970720720720721,0.0004876269165452921,4.974493243243243,1.2308678627436263
ctMV-GCN (equal fusion + nnPU),20,5.0,2.0,0.25,0.09999999999999999,0.004222972972972973,0.0016891891891891893,5.329814189189189,2.1319256756756753
ctMV-GCN (equal fusion + nnPU),50,15.666666666666666,4.725815626252608,0.3133333333333333,0.09451631252505216,0.01323198198198198,0.003991398332983621,6.680033783783784,2.0150175344234516
ctMV-GCN (equal fusion + nnPU),100,28.333333333333332,7.571877794400365,0.2833333333333333,0.07571877794400364,0.023930180180180182,0.00639516705608139,6.040456081081081,1.614268068296064
ctMV-GCN (equal fusion + nnPU),200,41.666666666666664,5.8594652770823155,0.20833333333333334,0.029297326385411576,0.03519144144144144,0.004948872700238443,4.441511824324324,0.6245972234970941
ctMV-GCN (equal fusion + nnPU),500,63.666666666666664,2.0816659994661326,0.12733333333333333,0.004163331998932268,0.05377252252252252,0.001758163850900449,2.714652027027027,0.08875914384885852
ctMV-GCN (local attention + class-weighted CE),10,1.3333333333333333,1.5275252316519465,0.13333333333333333,0.15275252316519466,0.0011261261261261261,0.0012901395537600901,2.8425675675675675,3.256570261601219
ctMV-GCN (local attention + class-weighted CE),20,6.333333333333333,0.5773502691896257,0.31666666666666665,0.028867513459481266,0.0053490990990991,0.000487626916545292,6.751097972972972,0.6154339313718127
ctMV-GCN (local attention + class-weighted CE),50,19.333333333333332,5.507570547286101,0.3866666666666667,0.11015141094572202,0.01632882882882883,0.004651664313586234,8.243445945945947,2.348346212070875
ctMV-GCN (local attention + class-weighted CE),100,38.666666666666664,5.507570547286101,0.38666666666666666,0.05507570547286103,0.03265765765765766,0.004651664313586234,8.243445945945945,1.1741731060354377
ctMV-GCN (local attention + class-weighted CE),200,68.33333333333333,7.094598884597589,0.3416666666666666,0.03547299442298794,0.057713963963963964,0.00599205986874796,7.2840793918918925,0.7562578760346811
ctMV-GCN (local attention + class-weighted CE),500,159.0,6.557438524302,0.318,0.013114877048604014,0.13429054054054054,0.005538377132011832,6.779523648648649,0.2795994311324851
