Node_ID,Gene_Symbol,Prediction_Score_Mean,STRING_Degree,Removal_Reason
21414,SOCS1,0.73795664,70,top-5%-STRING-degree
21367,SNRPE,0.73737514,224,top-5%-STRING-degree
6510,EIF3H,0.73632383,88,top-5%-STRING-degree
3579,CCT8,0.73631847,99,top-5%-STRING-degree
15288,RAD51,0.73530406,229,top-5%-STRING-degree
15035,PTGES3,0.73496825,86,top-5%-STRING-degree
20167,RUVBL1,0.73451805,153,top-5%-STRING-degree
12739,NCOR1,0.7342685,152,top-5%-STRING-degree
15250,RAB5A,0.73408055,76,top-5%-STRING-degree
9173,IFI35,0.73348296,188,top-5%-STRING-degree
8907,HNRNPM,0.7332406,93,top-5%-STRING-degree
3137,CACNA1S,0.7332321,70,top-5%-STRING-degree
7330,FBXW7,0.7327447,65,top-5%-STRING-degree
20757,SIN3A,0.7326228,129,top-5%-STRING-degree
23952,VASP,0.7316025,78,top-5%-STRING-degree
6499,EIF2S2,0.7313861,117,top-5%-STRING-degree
8866,HMGN1,0.7310647,157,top-5%-STRING-degree
15408,RB1,0.7310457,113,top-5%-STRING-degree
15649,RHO,0.7309278,70,top-5%-STRING-degree
22007,SYNCRIP,0.73083645,77,top-5%-STRING-degree
11604,MAP3K7,0.73078954,119,top-5%-STRING-degree
2237,AXIN1,0.72990304,83,top-5%-STRING-degree
5518,CUL3,0.72908914,131,top-5%-STRING-degree
1920,ARL6IP1,0.72806907,147,top-5%-STRING-degree
12258,MRPL41,0.72793025,137,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
23099,TRADD,0.7278597,67,top-5%-STRING-degree
21377,SNU13,0.7277856,254,top-5%-STRING-degree
21368,SNRPF,0.7271611,204,top-5%-STRING-degree
3966,CFL1,0.72640777,78,top-5%-STRING-degree
10391,LAMP1,0.72623616,76,top-5%-STRING-degree
3526,CCNB1,0.7258415,194,top-5%-STRING-degree
14290,PLCB3,0.7255162,94,top-5%-STRING-degree
21892,STX17,0.72519076,68,top-5%-STRING-degree
15473,RBMX,0.7247305,87,top-5%-STRING-degree
3574,CCT4,0.72365195,129,top-5%-STRING-degree
11695,MAVS,0.72364837,87,top-5%-STRING-degree
3575,CCT5,0.72289187,107,top-5%-STRING-degree
6508,EIF3F,0.72254497,100,top-5%-STRING-degree
8909,HNRNPU,0.7211937,91,top-5%-STRING-degree
20512,SERBP1,0.7211033,124,top-5%-STRING-degree
7241,FASN,0.72096527,76,top-5%-STRING-degree
20585,SF1,0.72083575,83,top-5%-STRING-degree
3667,CD9,0.7197834,73,top-5%-STRING-degree
1806,ARF6,0.7193801,73,top-5%-STRING-degree
15276,RAC1,0.71929824,108,top-5%-STRING-degree
8042,GLMN,0.7180872,82,top-5%-STRING-degree
6515,EIF3L,0.7180642,71,top-5%-STRING-degree
8091,GNA12,0.7174394,76,top-5%-STRING-degree
2347,BCAR1,0.7172127,74,top-5%-STRING-degree
6481,EIF1,0.7147063,79,top-5%-STRING-degree
5831,DDX6,0.7146726,72,top-5%-STRING-degree
2525,BRCA1,0.71394837,335,top-5%-STRING-degree
20111,RSL24D1,0.7133014,204,top-5%-STRING-degree
9990,KHDRBS1,0.7127264,73,top-5%-STRING-degree
7737,G6PD,0.71250343,66,top-5%-STRING-degree
922,ACTG1,0.7123593,162,top-5%-STRING-degree
7256,FBL,0.712142,191,top-5%-STRING-degree
13213,NSA2,0.712085,181,top-5%-STRING-degree
11578,MAP1LC3B,0.7101806,72,top-5%-STRING-degree
6507,EIF3E,0.7098576,89,top-5%-STRING-degree
6483,EIF1AX,0.70927536,143,top-5%-STRING-degree
8421,GSN,0.7091533,66,top-5%-STRING-degree
3194,CAMK2B,0.7090603,80,top-5%-STRING-degree
1687,AP2B1,0.70837414,78,top-5%-STRING-degree
22110,TALDO1,0.70821,68,top-5%-STRING-degree
21366,SNRPD3,0.7079242,196,top-5%-STRING-degree
20421,SEC22B,0.70777375,75,top-5%-STRING-degree
6509,EIF3G,0.70720416,79,top-5%-STRING-degree
9701,ITPR1,0.70587766,95,top-5%-STRING-degree
884,ACOX1,0.70532525,88,top-5%-STRING-degree
19992,RPL36AL,0.7052563,181,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
23268,TRIM28,0.7045743,116,top-5%-STRING-degree
12740,NCOR2,0.70449066,114,top-5%-STRING-degree
3517,CCL4,0.7044582,86,top-5%-STRING-degree
8090,GNA11,0.7034143,81,top-5%-STRING-degree
4682,CS,0.7028752,130,top-5%-STRING-degree
13019,NME7,0.70254457,86,top-5%-STRING-degree
12918,NGFR,0.70218766,86,top-5%-STRING-degree
6534,EIF5A,0.7007675,146,top-5%-STRING-degree
21310,SNAI1,0.7006485,85,top-5%-STRING-degree
6511,EIF3I,0.7005303,124,top-5%-STRING-degree
6500,EIF2S3,0.70049864,133,top-5%-STRING-degree
21364,SNRPD1,0.70004404,179,top-5%-STRING-degree
20110,RSL1D1,0.69981754,191,top-5%-STRING-degree
5521,CUL5,0.6994828,70,top-5%-STRING-degree
1685,AP2A1,0.69907844,74,top-5%-STRING-degree
20589,SF3B1,0.6990272,158,top-5%-STRING-degree
21902,STX5,0.69885904,94,top-5%-STRING-degree
24071,VTI1A,0.6981245,71,top-5%-STRING-degree
2583,BTF3,0.6980735,93,top-5%-STRING-degree
24386,YKT6,0.6973914,72,top-5%-STRING-degree
5621,CYP2E1,0.6971673,92,top-5%-STRING-degree
9063,HSPA4,0.6969125,230,top-5%-STRING-degree
