Gene_Symbol,Score
TTYH3,0.7098214084648189
MESDC1,0.7096180645691134
RNF149,0.7089321519490938
ZNF331,0.7089271811457245
HVCN1,0.7085966763975539
FAM46A,0.7079434035214955
C10ORF10,0.7062135528049247
KIAA1462,0.7055820249895848
DNASE1L3,0.7054478193015932
FAM26F,0.7052906440742962
SQRDL,0.7049194796402776
FKBP7,0.7041863849523633
MINOS1,0.7036881792835541
SRPX,0.7033693281728348
ARRDC4,0.701862748059672
FAM96B,0.7009091713571183
CALHM2,0.6997481437230497
FAM43A,0.6994968766334027
FNDC3B,0.6989908255304025
TMEM9B,0.6980135412218771
SLC43A3,0.6978325925880133
FIBIN,0.6977777554674616
GLT8D2,0.6975761659078079
PVRL2,0.69731487841363
TMEM51,0.6970107771224461
FYB,0.6969467836602239
TNFAIP8,0.6965151681998569
CCDC50,0.6947488559434771
CYSTM1,0.6946535209098584
FAM195B,0.6936747743040905
SERINC1,0.6930213722818271
RHBDD2,0.6923229685989999
VIMP,0.6922225056481268
SAMSN1,0.6898075646057449
ODF3B,0.6893460224119998
ARID5A,0.688805551984302
FAM195A,0.6885587632276475
AVPI1,0.6881080386088942
CCDC102B,0.6873101812218771
LINC01272,0.687132943362277
MESDC2,0.6863393343930471
C19ORF24,0.6852925356808213
C14ORF119,0.6843794146417153
FKBP9,0.684038827813529
RP11-1008C21.1,0.6825271602255693
AAED1,0.6823257411551895
NQO2,0.682015482188268
LINC00657,0.6816251088424246
FUNDC2,0.681439166209556
ERICH1,0.6810762055565445
FAM204A,0.6805066844135064
MARCH1,0.6798133439363598
FLVCR2,0.6792285771888522
SLC2A6,0.6787468895687236
PPIC,0.6782984494287684
SCPEP1,0.6781551846403625
FAM198B,0.6771543708690901
NREP,0.6770186574337065
CACUL1,0.6766532713236542
MFSD1,0.6763093152522526
KIAA1033,0.6748183339664344
FAM65A,0.67472700346675
FENDRR,0.6744997769104206
C1ORF54,0.6742031973486544
RP11-670E13.6,0.6732285694845892
AIDA,0.6719806327103623
CDV3,0.6714957386963346
C10ORF11,0.6711714897078497
JTB,0.671115585236588
THEMIS2,0.6708188081254656
LINC00998,0.6693336552538771
WARS,0.6692353226450352
ACP2,0.6688420285825827
MIR22HG,0.6682259763699883
TCEAL8,0.6682097950807409
CPQ,0.6678971341901876
SEPN1,0.6675314453285885
EFHD2,0.6671273660152035
HCFC1R1,0.666649150282609
RP3-460G2.2,0.664782096634586
FAM129A,0.6628851304091741
RP5-1171I10.5,0.6622849161891977
SMIM19,0.6622634448370235
C19ORF38,0.6619423755823209
SLC38A6,0.6607993443516706
PLBD1,0.6605215955147488
ANKRD10,0.6604677509948085
NUDT4,0.6601711251809808
CYTL1,0.6600673100830892
H2AFJ,0.6574290435270591
RBM47,0.6561807928043266
C1ORF21,0.6550478661915157
PPM1M,0.6550254186135678
GPX1,0.6546642660594456
C4ORF32,0.6546283084722826
LINC00116,0.6544645664489452
ARHGAP25,0.6528477115601068
NARS,0.6525798615562082
SPATS2L,0.6523890834689997
CCDC109B,0.6518602207474843
KLHDC8B,0.6515289152209268
MAP7D3,0.6508768466308175
FAM105A,0.6495964722576979
TMBIM1,0.6488354288304388
H3F3A,0.6487420787902624
FGD5,0.6486904402629806
PTRF,0.6464545659326009
SMCO4,0.6454664392521063
NBPF14,0.6451002766206065
SERINC3,0.64398701105367
MDH1,0.6438575993977238
ASNA1,0.6436531757647153
MFSD7,0.6423101627245491
GINM1,0.6421809760743009
ZNFX1,0.641046396755842
AMIGO2,0.6404866929365939
PLBD2,0.639559664466719
FAM101B,0.639416221221877
PLEKHB2,0.6392565687064667
NEAT1,0.6385023726954746
C2ORF40,0.6373104168432964
DARS,0.6360368852121128
PID1,0.635318941230623
GPRIN3,0.6343345224973423
ARHGAP18,0.6318378619603151
ARMCX1,0.631596499428557
RNFT1,0.6309063630521718
GUCY1A3,0.6303197941177389
FAM133B,0.6295022313424893
MCEMP1,0.6265728341998703
ADRBK2,0.6250166093142893
TMEM248,0.6248683459566434
CCL3L3,0.6248231754803271
C1QTNF3,0.6247418241267473
SMIM4,0.6241953748063043
LIMD2,0.6241603284659852
INAFM1,0.6240389812218772
BEX4,0.6239900406334089
PKIB,0.6231897862921199
C11ORF73,0.6226962407062994
RTFDC1,0.6226390885324635
C1ORF162,0.6220670279425974
FAM213A,0.6215695626571232
C16ORF72,0.6215441366237946
SIDT2,0.6214107364113959
TMEM220,0.6209614209146894
MOB3A,0.6208857509785775
VAT1,0.6208597204159417
TRBC1,0.6208562915180746
TRBC2,0.6198933485790392
USP30-AS1,0.619863736888977
C10ORF128,0.619852942155392
SHE,0.618262259982548
PLEKHH2,0.6181379595350902
SMIM15,0.6162392015612428
RAB42,0.6158320105017008
QARS,0.6149265492790424
CPNE8,0.6142013708374663
TTC28,0.6118616324488135
TMEM91,0.610050177442129
TMEM233,0.6096896809547064
C1ORF123,0.6077578322280008
GPR137B,0.6071987683304525
RARA-AS1,0.6071170476482382
WBP5,0.6060778356463908
MXRA7,0.6056199087227185
ADRBK1,0.6045582747264151
UFD1L,0.6042342759766289
MIR4435-2HG,0.6040308236648131
ATP5I,0.6033776261577346
H2AFY,0.6033775569137128
CPXM1,0.6029715835754498
GAL3ST4,0.602363763996997
CH17-373J23.1,0.6022930885897608
WBP1L,0.6012798324850863
HES4,0.600735203618792
TMEM60,0.6007159710821612
SEPP1,0.5997096908186144
SMIM10,0.5990019326454246
MCTP1,0.5978983146446624
SUSD6,0.5977101289753489
TBC1D9,0.5974908946579051
FAM114A1,0.5974756563654708
PTRHD1,0.5936252905279589
PROSC,0.5934074375925615
FAM129B,0.5909005561078784
TM9SF3,0.590023533132455
MILR1,0.5884313739358209
GS1-600G8.5,0.5873822189078184
ZDHHC24,0.5865099567755497
CCDC107,0.5858799193929858
CPXM2,0.5851293490828513
QPCT,0.5844430283525344
C5ORF15,0.584161135825455
XIST,0.5838821151618121
COL4A3BP,0.5835377294483968
FGD2,0.5827622984392649
C6ORF48,0.581789713562514
PTGR1,0.5817027214732151
CYB561A3,0.581131054158665
MAST4,0.5808741007357254
LINC01503,0.5806717939266768
MARCH2,0.579296963275312
FGD5-AS1,0.5789141632977537
EFCAB14,0.5784388561227569
SEPT6,0.576757890181136
HMHA1,0.5764093702519582
SLC6A6,0.5757635017101803
KCNQ1OT1,0.5751481295427519
CYP20A1,0.5743725576474433
OLFML1,0.5743343253744999
SPG20,0.5723736929718022
SUSD1,0.5721120084834805
SCCPDH,0.5712727631775658
FAM92A1,0.56904533408597
SRGAP2B,0.5680261990122681
FAM200B,0.5661495639811953
BRE,0.56445895656054
MXRA5,0.563987623823416
GBAS,0.5633341777272337
C1ORF228,0.5632912823914227
SLC35F6,0.562007117005326
ZFYVE21,0.5585956365988681
ANXA3,0.5584645333932509
SNHG8,0.5584130876118536
AAMDC,0.5582096525082397
PPDPF,0.5547904545343805
