Gene_Symbol,Score
VLDLR,0.7959752
MAP1LC3C,0.79572886
IFI27,0.7956397
CYP1B1,0.7955599
BAIAP2,0.79555833
SERPINE2,0.7955326
SAA2,0.7953951
CPVL,0.79530996
B3GALNT1,0.79516506
FUNDC2,0.79511464
AHNAK,0.7950829
IGFBP1,0.79496205
FOSL1,0.79494715
ITLN1,0.7948621
GSTA4,0.7947746
NNMT,0.79475623
MMP10,0.79470706
CD48,0.79431295
TPM1,0.79426193
NT5C1A,0.79421914
EHD2,0.79413086
MMP23B,0.79411
B3GALT5,0.793964
MYLK2,0.793892
BCL2L11,0.79387695
PFDN5,0.7938537
SFRP4,0.79384315
CCL1,0.79377615
DMTN,0.7937525
NKX2-5,0.79365313
VIMP,0.7933783
CREG1,0.79334444
METTL7A,0.79316485
COLEC12,0.79311144
C19ORF24,0.793059
KLF17,0.79294574
SHISA5,0.7926925
HSPB8,0.79267335
CST3,0.7925693
FBP1,0.7925402
ALOX12B,0.7925136
HSD17B11,0.79237115
LDHC,0.7920824
MYH9,0.7920695
MT1G,0.79205513
PPIC,0.7919691
RBMS3,0.79195464
C14ORF119,0.7919365
AGXT2,0.79183394
LINC00936,0.7918001
KLRC3,0.79171574
MGST2,0.791713
GRINA,0.79169726
FAM26F,0.7916819
CCL27,0.7916048
KERA,0.79150116
DIAPH3,0.7914637
IL1RN,0.79130447
SLC43A3,0.7912381
HOTAIRM1,0.791154
FKBP9,0.7910552
ALOX15B,0.79100114
PARP9,0.7908593
PROM1,0.7907495
PAPSS2,0.7907366
ZCWPW1,0.79069334
MYO1C,0.7906309
IGF2BP1,0.7906176
XCL1,0.7905253
DUOX1,0.7905161
TAP2,0.79047716
ARID5A,0.7904082
HEXB,0.79031837
IRF9,0.79026645
ATP6V1D,0.79022706
AAED1,0.79022694
HYAL2,0.79017097
MFSD1,0.79007304
PON1,0.789952
RCSD1,0.7897482
INA,0.78958154
ITIH5,0.7894958
ADAMTS3,0.7893437
MGST1,0.7893002
NQO2,0.7892803
UACA,0.7892458
GSTT2B,0.78918326
PARVG,0.7891461
TFEC,0.78865325
CCDC50,0.7884708
NID2,0.78840244
MAP2K6,0.78830254
AMY1B,0.7883023
ACP2,0.78817683
SCGB1A1,0.7881628
LGALS7,0.78801715
GDF15,0.78798246
TIMD4,0.78782564
PRL,0.7877785
IFIT3,0.7875434
TCEAL8,0.78753424
CHAC1,0.7873001
FAM96B,0.78728616
PAK1,0.78714955
SLC2A6,0.78701705
ATP6V1B2,0.78700256
RIN3,0.7869164
FAM195B,0.78682697
PYCARD,0.7868164
TICAM2,0.78673804
LRRC25,0.78639024
SQRDL,0.78626573
CXORF36,0.78624046
LEPROTL1,0.78603286
LDB1,0.78601694
RHBDD2,0.7859701
CP,0.78583825
ORM1,0.78582567
SCPEP1,0.78573537
FAM107A,0.78570884
MPEG1,0.7855815
CYP11A1,0.7855593
NLRP7,0.7855335
UGT2B15,0.7854635
TMED10,0.7854594
NCK2,0.7853624
FNDC3B,0.7853475
PLB1,0.78530645
MMP11,0.7852913
FAM198B,0.7850836
IL11,0.7850541
CAPN1,0.78496766
PDPN,0.78495157
MYLK3,0.7847012
LAMP3,0.7846974
AIM2,0.7845677
SELM,0.7845592
APOBEC3G,0.78454554
BACH1,0.78440756
S100A7,0.7844015
PBX1,0.78439283
GNGT1,0.7843739
LAMTOR3,0.78436196
CMKLR1,0.78434265
GNS,0.78431594
DDC,0.7841524
NCF4,0.784009
GBP4,0.78389645
XIRP2,0.7836648
BBOX1,0.7834386
HERC5,0.78343666
RNF149,0.7834258
CLEC10A,0.7833975
UPP2,0.7833972
HSPB2,0.7832006
FGF13,0.782925
TMEM9B,0.78279626
TNFAIP8,0.7827555
DAD1,0.782749
GNG11,0.7826682
SOD3,0.78246737
FBXO39,0.7821004
FAM65A,0.7820984
KLK4,0.7820804
SLC15A3,0.7820293
CCL15,0.78182924
FAM204A,0.7816787
FENDRR,0.7813411
NAGA,0.7813341
ACP5,0.78121364
TOR1B,0.7811497
RND3,0.7810416
GMFG,0.7809045
CD46,0.7806586
TRAF1,0.7806274
CRISPLD2,0.78058594
MMP16,0.78055197
TGM2,0.7805476
RP5-1171I10.5,0.7804933
ORM2,0.78044736
PIANP,0.7803822
C4BPB,0.78037065
BMP6,0.78026557
FHL2,0.77997077
GPT,0.77991897
ARHGEF6,0.7794533
MYL4,0.779318
FIBIN,0.77924925
NFIB,0.7792406
CDV3,0.77922946
ZYX,0.7791413
FABP4,0.7789267
IRF8,0.7788578
HK1,0.7788454
IL4I1,0.7788158
FXYD6,0.77877116
CTSZ,0.77873975
STX3,0.7786368
HMGA2,0.7786363
TGFB1I1,0.77856773
CD160,0.7785324
ATP6V1A,0.7785269
ARNT,0.7782388
MCU,0.77800554
MT1H,0.77799195
PTGFRN,0.77782077
BAX,0.77778924
MLKL,0.7777068
ISG20,0.7775197
SERPINA1,0.7774619
ADAMTSL4,0.77703017
KLF5,0.7769322
WARS,0.7768671
APOH,0.77675086
BIK,0.776749
CHAC2,0.7765469
FURIN,0.77648795
IGKV1D-33,0.77644837
LIMS3,0.77636915
TUBA3D,0.7762567
PGAM2,0.7761736
DNASE2,0.7760808
ANXA6,0.77599764
HYAL1,0.77599037
ARRDC4,0.77594036
ILK,0.77593267
APOF,0.7758225
NR1I2,0.7757883
GP2,0.77575296
SLC43A2,0.7756599
FYB,0.77541953
HPR,0.77533317
PLXDC2,0.77486324
GLS2,0.77486223
ERICH1,0.7748538
DPYSL3,0.7747575
DUOX2,0.77462393
SLC38A6,0.7745597
CALD1,0.7745491
COL9A1,0.7744306
SERINC1,0.77429265
GGT7,0.774117
ACSL4,0.7739043
CNN3,0.7736766
SORBS1,0.77360165
AQP9,0.77351
FAM43A,0.77336043
ATP12A,0.7732676
NR4A1,0.77311677
BAK1,0.77302706
NPDC1,0.77288854
CYSTM1,0.77287304
TNNC2,0.77274334
GRIP1,0.7725706
ADCY10,0.77250975
RELB,0.7724494
ATP6V1E1,0.7723621
NES,0.7721225
CCDC102B,0.7720929
AMPH,0.7720095
ETS1,0.7719601
IGLV10-54,0.7718811
PDLIM7,0.77184075
SLC31A1,0.7717777
DOCK8,0.7717358
RP3-460G2.2,0.771696
TSPAN6,0.7715809
JTB,0.77155095
NFAM1,0.7715225
HEXA,0.77133644
TUBA8,0.77127093
CD96,0.77108014
HMCN1,0.7709324
KCTD12,0.7709161
IRAK2,0.77079386
CIDEA,0.7707175
BLVRB,0.77051675
RAB20,0.7705015
PALLD,0.7702819
LOR,0.7702708
ARHGEF1,0.77021164
CD5L,0.77020204
RPN2,0.770135
MB,0.7701098
ADM2,0.77006495
SMIM19,0.7700066
RBM47,0.7698518
SP110,0.7697966
ALOX15,0.7696704
STAR,0.76954234
TRPV6,0.769519
PSMG2,0.7694679
GBP1,0.76945883
GLYATL1,0.76937234
PNPLA7,0.7690116
S100G,0.7689369
TNFRSF1B,0.7689175
TMEM50B,0.7688722
GIMAP8,0.76882607
APOM,0.7687136
TPSB2,0.768696
CCL18,0.76859117
MYH7B,0.7685293
G0S2,0.7684202
CD151,0.76817435
FGL2,0.7681659
FGD5,0.76813906
SEPN1,0.7681128
TMBIM1,0.7681079
S100A6,0.7680536
LINC00657,0.7679995
ATP6V1C1,0.7677139
GCH1,0.7676339
ODF3B,0.7675945
MESDC2,0.76753026
INMT,0.7674983
ADGRL2,0.7674717
HCFC1R1,0.7674441
IGF2R,0.7673503
FSCN2,0.76730716
CALHM2,0.7667397
RHOH,0.76658857
TRIM72,0.7665582
TMSB4X,0.76654136
MMP19,0.7665001
ATP6V1G2,0.76600665
SLC11A2,0.7658181
UGT2B4,0.7657022
ABCB9,0.7656039
SFRP2,0.76557183
IL12RB1,0.7655629
SPP2,0.7654226
CHN2,0.76530135
NUCB1,0.7652745
ADAP2,0.76499164
CMTM8,0.76495206
AP2A2,0.7648935
H2AFJ,0.7648586
PPT1,0.76478744
CXCL16,0.76446325
CAMK4,0.7644386
WIPF1,0.7644304
ACADL,0.7644247
CPA2,0.7642528
EVL,0.76424456
APOC1,0.76423943
LAIR1,0.76412165
PAOX,0.76392734
BATF3,0.76349425
NBPF14,0.7634805
CREB3L1,0.7634801
ATP6V1H,0.7633578
IER3,0.7632357
GM2A,0.76314723
FXYD6-FXYD2,0.763101
PCDH12,0.7630943
LMAN1L,0.76293355
