Bootstrap_Replicate,ctMV_GCN_AUPRC,Degree_Logistic_AUPRC,ctMV_GCN_minus_Degree
131,0.6299535281041962,0.6351258267486987,-0.0051722986445024155
132,0.6233409135459158,0.6257919554386138,-0.0024510418926979582
133,0.6414729092402248,0.6240526676027359,0.017420241637488898
134,0.6536306012211973,0.6265800154494575,0.0270505857717398
135,0.6411477948000165,0.634111223722717,0.007036571077299492
136,0.6335113783914003,0.6042162649427234,0.029295113448676857
137,0.6544913748012088,0.6277501278200445,0.026741246981164313
138,0.6320680905786417,0.6245995648275778,0.007468525751063826
139,0.6720895576914714,0.6454508969277304,0.026638660763740996
140,0.6640100121445164,0.6325239225801114,0.03148608956440502
141,0.6439390786994692,0.6175355847283807,0.026403493971088543
142,0.6559716585480029,0.6380007754187731,0.017970883129229787
143,0.6265989858948536,0.6198479342519191,0.006751051642934547
144,0.6501777745914655,0.6194953224852254,0.0306824521062401
145,0.6463708920123542,0.6333452780925158,0.013025613919838364
146,0.6468664062954003,0.6428828272683346,0.003983579027065698
147,0.6486705282769022,0.6285949711220394,0.020075557154862755
148,0.6497493070628785,0.6300288995008243,0.019720407562054176
149,0.6549771293979215,0.6192928779461117,0.03568425145180987
150,0.658774788259847,0.6460830211835612,0.012691767076285831
151,0.6550973478909362,0.6235984456061909,0.03149890228474528
152,0.6579013799247275,0.6226288029098865,0.03527257701484099
153,0.6599836609793482,0.6147246821749022,0.04525897880444607
154,0.6639663048719159,0.6383273678015525,0.025638937070363355
155,0.661292143114168,0.635028248519394,0.026263894594773962
156,0.6464785354724017,0.6226390094763786,0.023839525996023125
157,0.6551244915182561,0.6312749628145967,0.023849528703659417
158,0.6376795546935312,0.6278017910390166,0.009877763654514649
159,0.6457077993436863,0.6149912735676654,0.03071652577602091
160,0.6339660950714315,0.6231023472801276,0.010863747791303946
161,0.6528746712317585,0.6209023713139425,0.031972299917815916
162,0.6482949316685996,0.6346697960878603,0.0136251355807393
163,0.6573704920120508,0.6295378564391739,0.02783263557287685
164,0.6507211974438305,0.6322137584039763,0.01850743903985419
165,0.6411303590578472,0.626896659628246,0.014233699429601177
166,0.6516357264026903,0.6245151580946442,0.0271205683080461
167,0.6580893565505599,0.6291829977758382,0.028906358774721697
168,0.6358693936657885,0.6320716175465345,0.003797776119254026
169,0.6446088122690887,0.6077702882000916,0.036838524068997125
170,0.6379615475342125,0.6321783328278437,0.005783214706368778
171,0.6521188450824372,0.6372436428772722,0.014875202205165028
172,0.6483088273261791,0.629491251096383,0.018817576229796074
173,0.6430408148055512,0.6391369597466493,0.003903855058901895
174,0.653263754697953,0.6290903787890082,0.02417337590894475
175,0.6392445368085229,0.6100850229860653,0.029159513822457628
176,0.640676639680155,0.6053941493789231,0.03528249030123187
177,0.646353967344403,0.6381523821765328,0.008201585167870173
178,0.6454346679383506,0.6300490812908336,0.015385586647516991
179,0.6444249606103262,0.6169122779958309,0.027512682614495243
180,0.646562325895692,0.6312326280710179,0.015329697824674082
181,0.65596290332907,0.6301542390265076,0.025808664302562456
182,0.6564758558112976,0.6046747766473154,0.051801079163982244
183,0.6481565219887877,0.6449636738513215,0.003192848137466231
184,0.627672541838705,0.6138493919531703,0.01382314988553468
185,0.6354232888566901,0.6381211752876204,-0.002697886430930274
186,0.6470327772165235,0.6234319935938478,0.023600783622675703
187,0.6415884677180717,0.6148988151082772,0.0266896526097945
188,0.6297701060100729,0.6160575438654943,0.01371256214457861
189,0.6614267388569529,0.6341267656089428,0.027299973248010145
190,0.6429190141060981,0.6115255265068706,0.03139348759922744
191,0.6610626324059274,0.6370179314889053,0.024044700917022155
192,0.639416409393384,0.6304820202413874,0.008934389151996514
193,0.6517021751954789,0.6230281272678369,0.028674047927642055
194,0.6465764621439823,0.6153262429474674,0.03125021919651494
195,0.6565668608115512,0.6292083048127929,0.02735855599875836
196,0.6493466545144114,0.6338307783154972,0.015515876198914258
197,0.6451869417349844,0.6221380366083973,0.023048905126587083
198,0.6471605325717129,0.6338181180411216,0.013342414530591262
199,0.6373849774498944,0.6264575372559257,0.01092744019396874
200,0.6431598509885217,0.6216745818989818,0.02148526908953985
201,0.664218302507078,0.6265747067873172,0.037643595719760836
202,0.6448568120543163,0.612737407762421,0.032119404291895304
203,0.6524452233935153,0.6292031134594823,0.023242109934032973
204,0.6526112003849455,0.6370264929318242,0.015584707453121238
205,0.6443085712757618,0.6227824892188006,0.02152608205696116
206,0.6457992173104569,0.634530710455085,0.01126850685537184
207,0.6362858820661065,0.6186539420955928,0.01763193997051371
208,0.6278203518080653,0.60747555564763,0.020344796160435275
209,0.6533662246387651,0.6255522844972848,0.02781394014148031
210,0.6556018496966994,0.638314623822621,0.017287225874078382
211,0.6428838713365176,0.6356381520057014,0.007245719330816192
212,0.6609178864162403,0.6365630781303293,0.024354808285910967
213,0.6486909148402666,0.6327549614801709,0.01593595336009579
214,0.6485472194091519,0.6222711794133797,0.026276039995772216
215,0.6470434917912008,0.6272528143581648,0.019790677433035975
216,0.6463659632382469,0.6395821621165547,0.00678380112169219
217,0.6377219486820511,0.6197392286504049,0.01798272003164625
218,0.6299984377740436,0.6228929306510355,0.00710550712300817
219,0.6287566709606937,0.6200506823005115,0.008705988660182129
220,0.647000857139303,0.6246170161613978,0.022383840977905245
221,0.6368371040357848,0.6238274033453087,0.013009700690476023
222,0.6415506273761226,0.6279850478273522,0.013565579548770357
