symbol,globalScore,maxClinicalTrialPhase,chembl
PLEC,0.2119746302063609,,
CASP9,0.211649189027911,0.5,
FLNA,0.2116277926213827,0.75,
LMNA,0.211457161057834,,
GPHN,0.2108453070976223,,
PRKD1,0.2108387367890946,1.0,
BTG2,0.2107267163939582,,
SMC1A,0.210713798265997,,
CD209,0.2104113074210447,,
SEPTIN9,0.210278104681752,,
ECT2L,0.2101061473882529,,
TPM4,0.2100819180137288,,
PPFIBP1,0.2099839807140655,,
PCBP1,0.2098777555639493,,
FOXR1,0.2097365675335682,,
ELN,0.2090609550269904,0.75,
ZCCHC8,0.2089974078241988,,
BCR,0.2089667411977034,1.0,0.1215861595223242
ARHGAP5,0.2089512103423632,,
DGCR8,0.2089460772888259,,
KIAA1549,0.2088126178968564,,
ZNF479,0.2088126178968564,,
CHD2,0.2088126178968564,,
FIP1L1,0.2088126178968564,,
LSM14A,0.2088126178968564,,
DCTN1,0.2085354330058429,,
GLI1,0.20842318042951,,
HOOK3,0.2082582481148294,,
GRM3,0.2082582481148294,0.75,
TCEA1,0.2082303666447345,,
CNTRL,0.2078886682601447,,
GTF2I,0.2078886682601447,,
OMD,0.2078886682601447,,
STAG1,0.2078886682601447,,
ARHGEF10L,0.2078886682601447,,
NIN,0.2078886682601447,,
KDSR,0.2078886682601447,,
N4BP2,0.2078886682601447,,
RABEP1,0.2078886682601447,,
PWWP2A,0.2078886682601447,,
SHTN1,0.2078886682601447,,
ASXL2,0.2078886682601447,,
GOLGA5,0.2078886682601447,,
MNX1,0.2063677734269335,,
FADD,0.2061759491002396,,
BMP5,0.2061662618194451,,
RNF213,0.2059328722013674,,
GOLPH3,0.2057019874532602,,
MUC5AC,0.2056755367095763,0.75,
AKT3,0.2052410395404319,1.0,0.1215861595223242
MSN,0.2036143457716919,,
FNBP1,0.20356407065498,,
COX6C,0.2032689200765859,,
ATF7IP,0.2032112915917661,,
CCR7,0.2030284100218342,,
CSF1R,0.2021673936329943,1.0,
NCOA4,0.2010614244210714,,
FLT1,0.2008895103577536,1.0,0.1435392161027438
CD28,0.2006607009402896,0.5,
CDKN1A,0.1999531753094594,,
CPEB3,0.1991984086215169,,
PIK3R2,0.1979132460073862,0.75,
RAD51,0.197456761460582,,
ARFRP1,0.1969981859014808,,
UMAD1,0.1967083221808396,,
CCR4,0.1964242637792356,1.0,
AQP7,0.195854243759381,,
RGPD3,0.1955054332541154,,
CUL3,0.1950935517943835,,
USP44,0.1950862966192246,,
ACSL3,0.1946645833553222,,
PICALM,0.1943425399752429,,
SGK1,0.1941020235701743,,
FBLN2,0.1940214352597894,,
GSK3B,0.1937746548152718,1.0,
SUB1,0.1935325465422712,,
SOX21,0.1934743521191351,,
CBLC,0.1930103468140558,,
CYP2C8,0.1928282891817431,,
LIFR,0.1919426441969781,,
SIRPA,0.1918711795013383,,
GMPS,0.1918684081702704,0.75,
TFRC,0.191698590965343,0.75,
NLRP3,0.191535600173756,0.5,
RTEL1,0.1915231742525202,,
CASP3,0.1913442257112157,0.5,
MLLT3,0.1913037722811687,,
SIX2,0.1910881840326026,,
ID3,0.1908752658489053,,
LHFPL6,0.1905232819818283,,
NFIB,0.1902005267670088,,
CDH17,0.1901689205661531,,
PTPN6,0.1899471062312636,,
POLR2A,0.1899152812993325,0.5,
SET,0.1896493891261009,,
A1CF,0.1896144105536887,,
ITK,0.1888886705918749,1.0,
AFF1,0.1888553057438826,,
HERPUD1,0.188433261368018,,
EED,0.1883971807156796,,
SPECC1,0.1883471334436911,,
LASP1,0.1883317342830792,,
PIK3R3,0.188304169785584,0.75,
EIF4A2,0.188247038899714,,
RAP1B,0.1881947844147044,,
S100A7,0.1879679547788917,,
RPN1,0.1879278128412495,,
TSHR,0.1876708536401535,1.0,
H4C9,0.1876541712161573,,
SEPTIN6,0.1874231838069793,,
CHST11,0.1873872524322183,,
NR2F2,0.1870842137705659,,
PRRX1,0.1869714750956981,,
ERC1,0.1867302215794455,,
TCF12,0.186453036688432,,
ZNRF3,0.186453036688432,,
ZNF384,0.1863144442429252,,
DNAJB1,0.1861261638391775,,
ZMYM2,0.1859448643882405,,
TOP1,0.1859397313347033,1.0,
PRCC,0.1858639887691798,,
GAS7,0.1858473363710321,,
ZNF429,0.1858062719427338,,
PCM1,0.1857138769790626,,
TRIP11,0.1857138769790626,,
POLG,0.1857138769790626,,
SLC45A3,0.1857138769790626,,
CYSLTR2,0.1857138769790626,,
CLIP1,0.1854777565163474,,
CCNC,0.1853442971243779,,
NUTM2B,0.1853442971243779,,
SMARCD1,0.1853442971243779,,
CTNNA1,0.1853442971243779,,
WDCP,0.1851595071970355,,
TEC,0.1851595071970355,1.0,
RAD17,0.1851595071970355,,
FAM135B,0.1851595071970355,,
EIF1AX,0.1851595071970355,,
FKBP9,0.1851595071970355,,
KLK2,0.1851595071970355,,
MLLT1,0.1851595071970355,,
MLLT11,0.1847899273423509,,
ASPSCR1,0.1847899273423509,,
NUTM2D,0.1847899273423509,,
FAM131B,0.1847899273423509,,
SNX29,0.1847899273423509,,
TFPT,0.1847899273423509,,
BCLAF1,0.1847899273423509,,
RALGDS,0.1847899273423509,,
CRNKL1,0.1847899273423509,,
CRTC3,0.1847899273423509,,
SS18L1,0.1847899273423509,,
SKI,0.1847899273423509,,
